L2/3 IT,L6 IT,L4 IT,L5 IT,L5 ET,L6 CT,L6b,L6 IT Car3,L5/6 NP
0.9999993,9.121939e-09,7.882226e-12,2.0752049e-15,7.200745e-07,7.8935716e-19,1.5383308e-22,1.4264702e-11,2.7500192e-14
0.9517057,0.0029498665,0.011128242,8.651439e-05,0.029168734,8.310904e-05,9.649754e-06,0.001250428,0.0036176937
1.0,1.8327471e-11,1.8730484e-15,6.6874148e-21,3.068904e-08,3.707901e-24,1.2332427e-32,2.5270305e-13,5.4902704e-20
0.99990714,1.968255e-06,2.4960843e-07,4.9593052e-11,8.97113e-05,1.4929752e-11,1.2505344e-14,8.7464315e-07,3.6218164e-09
0.99974674,3.1147226e-06,2.2508717e-08,1.3500343e-10,0.00024998444,1.4661178e-12,2.1641773e-14,1.4925351e-07,2.5699606e-10
0.99994016,7.0774416e-07,3.3732064e-07,3.890394e-11,5.8678816e-05,2.311466e-12,2.121968e-14,6.9526315e-08,7.546704e-09
0.756816,0.0219628,0.05058172,0.007609702,0.117587335,0.0039580683,0.0010722494,0.024536787,0.015875254
0.99977905,2.1152315e-05,5.7446837e-06,2.5421194e-09,0.0001919721,1.2002484e-10,6.2072783e-14,2.0717282e-06,6.0074976e-09
0.9976865,0.00029668387,1.13199985e-05,6.738693e-09,0.0019239209,5.5314564e-10,3.923117e-13,8.149537e-05,6.3173445e-08
0.60011375,0.07759741,0.09611828,0.0124567095,0.13152108,0.009688116,0.0025809498,0.039043453,0.03088025
0.9926939,0.0004086268,0.0009982089,3.441483e-06,0.005482853,8.6842545e-07,9.655453e-09,0.00039144946,2.066777e-05
0.999931,2.719486e-06,1.1179875e-07,4.693312e-11,6.594708e-05,9.733173e-13,6.1724397e-16,2.3651572e-07,9.631452e-10
0.99988484,6.923829e-06,3.340597e-07,5.531181e-10,0.000105836436,8.743116e-13,9.656491e-16,1.968517e-06,1.9396285e-10
0.99671906,0.0005432777,0.00048280827,2.3807956e-07,0.0021714878,7.068284e-08,1.0450659e-09,7.8028235e-05,4.982411e-06
0.9891978,0.0015713164,0.0008494682,2.421984e-05,0.0076949215,4.383508e-06,7.580944e-08,0.00054534967,0.00011253281
0.99999905,1.2216865e-08,2.272034e-12,7.343684e-18,9.621876e-07,2.1264239e-18,1.6266861e-22,1.7856588e-11,9.205828e-14
0.83508253,0.06059016,0.008001438,0.0032274395,0.07475565,0.0006242054,0.00013505641,0.015281867,0.0023015735
0.9999969,2.1309482e-07,1.762695e-11,2.9781838e-14,2.9130233e-06,2.1995336e-18,3.8939558e-22,8.6522484e-10,6.4914877e-15
0.9651205,0.005084714,0.00911503,0.0001520785,0.015644409,8.3471336e-05,2.6960322e-06,0.0042717434,0.0005252874
0.9921949,0.00040114432,0.00085118675,4.6023847e-06,0.006255943,2.6244436e-06,6.514972e-08,0.00019865925,9.100212e-05
0.99829596,0.00050750346,0.00012308465,1.2533076e-07,0.0010453988,1.2901373e-08,1.4227435e-10,2.7308448e-05,7.1292885e-07
0.9999291,7.570242e-07,6.970387e-08,9.330842e-12,6.9999354e-05,8.7604625e-13,1.8811131e-16,1.18791775e-07,7.551008e-10
0.9998074,5.9552885e-06,3.9130578e-07,1.9723705e-10,0.0001860735,1.0870853e-11,2.6167016e-14,2.5525677e-07,2.4694637e-08
0.9342989,0.01194939,0.002537177,0.00019819039,0.04685511,6.570535e-05,6.857247e-06,0.0029610838,0.0011275724
